country_code,region
AR,LATAM
AS,APAC
AT,EMEA
BB,Unclassified
BD,APAC
BO,LATAM
BW,EMEA
CL,LATAM
CV,EMEA
DE,EMEA
DK,EMEA
ET,EMEA
FJ,APAC
GD,Unclassified
GF,LATAM
GP,Unclassified
GU,APAC
HU,EMEA
LB,EMEA
LU,EMEA
MD,EMEA
MP,APAC
MU,EMEA
NZ,APAC
OM,EMEA
SG,APAC
TL,APAC
TT,Unclassified
TZ,EMEA
US,AMER
UZ,APAC
YE,EMEA
ZW,EMEA
BF,EMEA
BS,Unclassified
BZ,Unclassified
CO,LATAM
DZ,EMEA
EC,LATAM
GE,EMEA
GG,EMEA
GT,LATAM
HR,EMEA
IN,APAC
KE,EMEA
LK,APAC
MR,EMEA
MV,APAC
PA,LATAM
PK,APAC
PS,EMEA
SC,EMEA
TJ,APAC
AG,Unclassified
AL,EMEA
AX,EMEA
BA,EMEA
BE,EMEA
BR,LATAM
CI,EMEA
EG,EMEA
GL,Unclassified
GN,EMEA
IR,APAC
IS,EMEA
IT,EMEA
JP,APAC
KR,APAC
LC,Unclassified
MH,APAC
MM,APAC
MT,EMEA
NC,APAC
NG,EMEA
PF,APAC
RE,EMEA
RO,EMEA
RS,EMEA
TN,EMEA
UY,LATAM
VN,APAC
AO,EMEA
AU,APAC
BG,EMEA
BN,APAC
CD,EMEA
CK,APAC
FI,EMEA
GB,EMEA
GR,EMEA
HK,APAC
IQ,EMEA
JE,EMEA
KZ,EMEA
MA,EMEA
MO,APAC
MQ,Unclassified
PH,APAC
PL,EMEA
PT,EMEA
QA,EMEA
SK,EMEA
SX,Unclassified
VE,LATAM
AD,EMEA
CM,EMEA
CN,APAC
CR,LATAM
CW,Unclassified
CZ,EMEA
FO,EMEA
GY,LATAM
IL,EMEA
KH,APAC
KN,Unclassified
KY,Unclassified
LA,APAC
MG,EMEA
MK,EMEA
ML,EMEA
MW,EMEA
MY,APAC
NL,EMEA
PY,LATAM
SD,EMEA
SN,EMEA
SO,EMEA
TG,EMEA
TH,APAC
TR,EMEA
TW,APAC
UG,EMEA
VC,Unclassified
VG,Unclassified
VI,Unclassified
DO,LATAM
EE,EMEA
GI,EMEA
HT,LATAM
ID,APAC
IM,EMEA
KG,APAC
LT,EMEA
MC,EMEA
MX,LATAM
NO,EMEA
PG,APAC
PR,Unclassified
RU,APAC
SA,EMEA
SV,LATAM
ZA,EMEA
ZM,EMEA
AE,EMEA
AW,Unclassified
AZ,EMEA
BH,APAC
BJ,Unclassified
BM,Unclassified
BY,EMEA
CY,EMEA
ES,EMEA
FR,EMEA
GH,EMEA
JM,Unclassified
KW,EMEA
LI,EMEA
ME,EMEA
NP,APAC
SE,EMEA
SI,EMEA
SL,EMEA
UA,EMEA
VU,APAC
AI,Unclassified
AM,APAC
BQ,Unclassified
BT,APAC
CA,AMER
CH,EMEA
CU,LATAM
HN,LATAM
IE,EMEA
JO,EMEA
LV,EMEA
MN,APAC
MZ,EMEA
NI,LATAM
PE,LATAM
RW,EMEA
TC,Unclassified
EU,Unclassified
AP,Unclassified
