cohort_month,loyalty_status,months_since_acquisition,active_users,cohort_size,retention_pct
2019-01-01,0,0,1205,1205,100.0
2019-01-01,0,1,12,1205,1.0
2019-01-01,0,2,10,1205,0.83
2019-01-01,0,3,9,1205,0.75
2019-01-01,0,4,4,1205,0.33
2019-01-01,0,5,5,1205,0.41
2019-01-01,0,6,1,1205,0.08
2019-01-01,0,7,2,1205,0.17
2019-01-01,0,8,3,1205,0.25
2019-01-01,0,9,4,1205,0.33
2019-01-01,0,10,2,1205,0.17
2019-01-01,0,11,3,1205,0.25
2019-01-01,0,12,4,1205,0.33
2019-01-01,0,13,8,1205,0.66
2019-01-01,0,14,5,1205,0.41
2019-01-01,0,15,5,1205,0.41
2019-01-01,0,16,7,1205,0.58
2019-01-01,0,17,2,1205,0.17
2019-01-01,0,18,1,1205,0.08
2019-01-01,0,19,5,1205,0.41
2019-01-01,0,20,3,1205,0.25
2019-01-01,0,21,2,1205,0.17
2019-01-01,0,22,2,1205,0.17
2019-01-01,0,23,4,1205,0.33
2019-01-01,0,24,4,1205,0.33
2019-01-01,0,25,2,1205,0.17
2019-01-01,0,26,7,1205,0.58
2019-01-01,0,27,4,1205,0.33
2019-01-01,0,28,1,1205,0.08
2019-01-01,0,29,2,1205,0.17
2019-01-01,0,30,1,1205,0.08
2019-01-01,0,31,2,1205,0.17
2019-01-01,0,32,2,1205,0.17
2019-01-01,0,33,1,1205,0.08
2019-01-01,0,36,1,1205,0.08
2019-01-01,0,39,2,1205,0.17
2019-01-01,0,41,1,1205,0.08
2019-01-01,0,42,1,1205,0.08
2019-01-01,0,45,1,1205,0.08
2019-01-01,0,47,1,1205,0.08
2019-01-01,1,0,32,32,100.0
2019-01-01,1,1,1,32,3.13
2019-01-01,1,35,1,32,3.13
2019-02-01,0,0,1067,1067,100.0
2019-02-01,0,1,25,1067,2.34
2019-02-01,0,2,15,1067,1.41
2019-02-01,0,3,6,1067,0.56
2019-02-01,0,4,6,1067,0.56
2019-02-01,0,5,2,1067,0.19
2019-02-01,0,6,2,1067,0.19
2019-02-01,0,7,2,1067,0.19
2019-02-01,0,8,3,1067,0.28
2019-02-01,0,9,3,1067,0.28
2019-02-01,0,10,5,1067,0.47
2019-02-01,0,11,3,1067,0.28
2019-02-01,0,12,6,1067,0.56
2019-02-01,0,13,8,1067,0.75
2019-02-01,0,14,5,1067,0.47
2019-02-01,0,15,5,1067,0.47
2019-02-01,0,16,3,1067,0.28
2019-02-01,0,17,3,1067,0.28
2019-02-01,0,18,2,1067,0.19
2019-02-01,0,19,1,1067,0.09
2019-02-01,0,20,6,1067,0.56
2019-02-01,0,21,2,1067,0.19
2019-02-01,0,22,3,1067,0.28
2019-02-01,0,23,1,1067,0.09
2019-02-01,0,24,1,1067,0.09
2019-02-01,0,25,2,1067,0.19
2019-02-01,0,26,1,1067,0.09
2019-02-01,0,27,2,1067,0.19
2019-02-01,0,28,1,1067,0.09
2019-02-01,0,29,1,1067,0.09
2019-02-01,0,30,1,1067,0.09
2019-02-01,0,32,3,1067,0.28
2019-02-01,0,33,1,1067,0.09
2019-02-01,0,34,1,1067,0.09
2019-02-01,0,36,2,1067,0.19
2019-02-01,0,37,1,1067,0.09
2019-02-01,0,39,2,1067,0.19
2019-02-01,0,43,1,1067,0.09
2019-02-01,0,45,2,1067,0.19
2019-02-01,0,46,1,1067,0.09
2019-02-01,1,0,29,29,100.0
2019-02-01,1,15,1,29,3.45
2019-02-01,1,27,1,29,3.45
2019-03-01,0,0,1149,1149,100.0
2019-03-01,0,1,18,1149,1.57
2019-03-01,0,2,21,1149,1.83
2019-03-01,0,3,7,1149,0.61
2019-03-01,0,5,1,1149,0.09
2019-03-01,0,6,4,1149,0.35
2019-03-01,0,8,6,1149,0.52
2019-03-01,0,9,1,1149,0.09
2019-03-01,0,10,4,1149,0.35
2019-03-01,0,11,2,1149,0.17
2019-03-01,0,12,6,1149,0.52
2019-03-01,0,13,3,1149,0.26
2019-03-01,0,14,6,1149,0.52
2019-03-01,0,15,1,1149,0.09
2019-03-01,0,16,3,1149,0.26
2019-03-01,0,17,4,1149,0.35
2019-03-01,0,18,2,1149,0.17
2019-03-01,0,19,5,1149,0.44
2019-03-01,0,22,2,1149,0.17
2019-03-01,0,23,4,1149,0.35
2019-03-01,0,24,4,1149,0.35
2019-03-01,0,25,1,1149,0.09
2019-03-01,0,26,4,1149,0.35
2019-03-01,0,27,1,1149,0.09
2019-03-01,0,28,2,1149,0.17
2019-03-01,0,29,2,1149,0.17
2019-03-01,0,30,1,1149,0.09
2019-03-01,0,32,1,1149,0.09
2019-03-01,0,33,4,1149,0.35
2019-03-01,0,34,1,1149,0.09
2019-03-01,0,37,2,1149,0.17
2019-03-01,0,38,3,1149,0.26
2019-03-01,0,39,1,1149,0.09
2019-03-01,0,42,1,1149,0.09
2019-03-01,0,43,1,1149,0.09
2019-03-01,0,44,1,1149,0.09
2019-03-01,1,0,64,64,100.0
2019-04-01,0,0,1104,1104,100.0
2019-04-01,0,1,14,1104,1.27
2019-04-01,0,2,13,1104,1.18
2019-04-01,0,3,10,1104,0.91
2019-04-01,0,4,3,1104,0.27
2019-04-01,0,5,2,1104,0.18
2019-04-01,0,6,2,1104,0.18
2019-04-01,0,7,6,1104,0.54
2019-04-01,0,8,1,1104,0.09
2019-04-01,0,9,1,1104,0.09
2019-04-01,0,10,2,1104,0.18
2019-04-01,0,11,4,1104,0.36
2019-04-01,0,12,4,1104,0.36
2019-04-01,0,13,4,1104,0.36
2019-04-01,0,14,5,1104,0.45
2019-04-01,0,15,5,1104,0.45
2019-04-01,0,16,1,1104,0.09
2019-04-01,0,17,3,1104,0.27
2019-04-01,0,18,2,1104,0.18
2019-04-01,0,19,5,1104,0.45
2019-04-01,0,20,4,1104,0.36
2019-04-01,0,22,3,1104,0.27
2019-04-01,0,23,4,1104,0.36
2019-04-01,0,24,3,1104,0.27
2019-04-01,0,25,5,1104,0.45
2019-04-01,0,26,2,1104,0.18
2019-04-01,0,29,2,1104,0.18
2019-04-01,0,30,1,1104,0.09
2019-04-01,0,31,1,1104,0.09
2019-04-01,0,34,2,1104,0.18
2019-04-01,0,35,1,1104,0.09
2019-04-01,0,36,1,1104,0.09
2019-04-01,0,37,2,1104,0.18
2019-04-01,0,38,1,1104,0.09
2019-04-01,0,40,2,1104,0.18
2019-04-01,0,41,1,1104,0.09
2019-04-01,0,42,2,1104,0.18
2019-04-01,0,44,2,1104,0.18
2019-04-01,1,0,68,68,100.0
2019-04-01,1,24,1,68,1.47
2019-05-01,0,0,1054,1054,100.0
2019-05-01,0,1,21,1054,1.99
2019-05-01,0,2,8,1054,0.76
2019-05-01,0,3,6,1054,0.57
2019-05-01,0,4,6,1054,0.57
2019-05-01,0,5,3,1054,0.28
2019-05-01,0,6,3,1054,0.28
2019-05-01,0,7,5,1054,0.47
2019-05-01,0,8,7,1054,0.66
2019-05-01,0,9,4,1054,0.38
2019-05-01,0,10,3,1054,0.28
2019-05-01,0,11,7,1054,0.66
2019-05-01,0,12,4,1054,0.38
2019-05-01,0,13,4,1054,0.38
2019-05-01,0,14,3,1054,0.28
2019-05-01,0,15,2,1054,0.19
2019-05-01,0,16,2,1054,0.19
2019-05-01,0,17,1,1054,0.09
2019-05-01,0,18,1,1054,0.09
2019-05-01,0,19,1,1054,0.09
2019-05-01,0,20,3,1054,0.28
2019-05-01,0,21,1,1054,0.09
2019-05-01,0,22,2,1054,0.19
2019-05-01,0,25,1,1054,0.09
2019-05-01,0,26,2,1054,0.19
2019-05-01,0,27,2,1054,0.19
2019-05-01,0,28,4,1054,0.38
2019-05-01,0,29,3,1054,0.28
2019-05-01,0,30,2,1054,0.19
2019-05-01,0,31,3,1054,0.28
2019-05-01,0,33,2,1054,0.19
2019-05-01,0,34,1,1054,0.09
2019-05-01,0,35,1,1054,0.09
2019-05-01,0,36,2,1054,0.19
2019-05-01,0,37,3,1054,0.28
2019-05-01,0,39,1,1054,0.09
2019-05-01,0,40,2,1054,0.19
2019-05-01,0,41,2,1054,0.19
2019-05-01,0,42,1,1054,0.09
2019-05-01,1,0,76,76,100.0
2019-05-01,1,1,1,76,1.32
2019-05-01,1,17,1,76,1.32
2019-05-01,1,25,1,76,1.32
2019-06-01,0,0,944,944,100.0
2019-06-01,0,1,7,944,0.74
2019-06-01,0,2,14,944,1.48
2019-06-01,0,3,2,944,0.21
2019-06-01,0,4,4,944,0.42
2019-06-01,0,5,2,944,0.21
2019-06-01,0,6,2,944,0.21
2019-06-01,0,7,2,944,0.21
2019-06-01,0,8,5,944,0.53
2019-06-01,0,9,5,944,0.53
2019-06-01,0,10,5,944,0.53
2019-06-01,0,11,3,944,0.32
2019-06-01,0,12,2,944,0.21
2019-06-01,0,13,3,944,0.32
2019-06-01,0,14,2,944,0.21
2019-06-01,0,15,3,944,0.32
2019-06-01,0,16,1,944,0.11
2019-06-01,0,17,2,944,0.21
2019-06-01,0,21,1,944,0.11
2019-06-01,0,22,3,944,0.32
2019-06-01,0,23,1,944,0.11
2019-06-01,0,24,2,944,0.21
2019-06-01,0,25,3,944,0.32
2019-06-01,0,27,1,944,0.11
