marketing_channel,loyalty_status,users_acquired,avg_first_aov,total_first_revenue,pct_within_channel
affiliate,0,1833,306.5879541734868,561975.7200000014,81.9400983459991
affiliate,1,404,229.34440594059413,92655.14000000003,18.059901654000893
direct,0,39404,274.6589211755322,10822660.130000671,58.368513827785925
direct,1,28105,252.86870877069353,7106875.060000341,41.631486172214075
email,0,6260,139.60186741213866,873907.689999988,40.23912065308221
email,1,9297,198.10873615144385,1841816.9199999734,59.76087934691779
social media,0,514,241.28171206225682,124018.8,47.725162488393686
social media,1,563,200.8753996447602,113092.84999999999,52.274837511606314
unknown,0,14,195.0064285714286,2730.09,21.21212121212121
unknown,1,52,254.88519230769228,13254.029999999999,78.78787878787878
,0,477,201.00744234800837,95880.54999999999,41.40625
,1,675,254.32320000000018,171668.16000000012,58.59375
